filename,pose,type,index,text
extended-side-angle_transition.m4a,Extended Side Angle,transition,,"From Warrior II, bring your front forearm to your thigh..."
extended-side-angle_01.m4a,Extended Side Angle,narration,0,"Bend your front knee and bring your forearm to your thigh, or hand to the floor..."
extended-side-angle_02.m4a,Extended Side Angle,narration,1,"Reach your top arm overhead, creating one long line from back foot to fingertips..."
extended-side-angle_03.m4a,Extended Side Angle,narration,2,"Feel the stretch along your entire side body..."
extended-side-angle_04.m4a,Extended Side Angle,narration,3,"Breathe deeply into your ribcage... let each exhale deepen the stretch..."
extended-side-angle_05.m4a,Extended Side Angle,narration,4,"Root down through your back foot, reach long through your top hand..."
chair-pose_transition.m4a,Chair Pose,transition,,"From Mountain Pose, bend your knees and reach your arms up..."
chair-pose_01.m4a,Chair Pose,narration,0,"Bend your knees deeply, as if sitting back into an invisible chair..."
chair-pose_02.m4a,Chair Pose,narration,1,"Sweep your arms overhead, palms facing each other..."
chair-pose_03.m4a,Chair Pose,narration,2,"Shift your weight into your heels, keep your chest lifted..."
chair-pose_04.m4a,Chair Pose,narration,3,"Breathe steadily... the burn in your thighs is building strength and endurance..."
chair-pose_05.m4a,Chair Pose,narration,4,"Inhale, lengthen your spine... exhale, sit a little deeper..."
crescent-lunge_transition.m4a,Crescent Lunge,transition,,"Step your right foot forward between your hands, stay on the ball of your back foot..."
crescent-lunge_01.m4a,Crescent Lunge,narration,0,"Step one foot forward into a deep lunge, back knee lifted, heel high..."
crescent-lunge_02.m4a,Crescent Lunge,narration,1,"Sweep your arms overhead, palms together or shoulder-width..."
crescent-lunge_03.m4a,Crescent Lunge,narration,2,"Sink your hips low, feeling the stretch through your back hip flexor..."
crescent-lunge_04.m4a,Crescent Lunge,narration,3,"Breathe deeply... with each inhale, lift taller... with each exhale, sink lower..."
crescent-lunge_05.m4a,Crescent Lunge,narration,4,"Let your back leg be strong and straight, pressing back through the heel..."
pyramid-pose_transition.m4a,Pyramid Pose,transition,,"Step your back foot in and square your hips toward your front foot..."
pyramid-pose_01.m4a,Pyramid Pose,narration,0,"Step your back foot in slightly, square your hips forward..."
pyramid-pose_02.m4a,Pyramid Pose,narration,1,"Hinge at your hips, folding over your front leg with a long spine..."
pyramid-pose_03.m4a,Pyramid Pose,narration,2,"Keep both legs straight, or micro-bend the front knee to protect it..."
pyramid-pose_04.m4a,Pyramid Pose,narration,3,"Breathe into the back of your front leg... let the stretch deepen with each exhale..."
pyramid-pose_05.m4a,Pyramid Pose,narration,4,"Relax your neck and let your head hang heavy..."
wide-legged-forward-fold_transition.m4a,Wide-Legged Forward Fold,transition,,"Turn to face the long edge of your mat and step your feet wide..."
wide-legged-forward-fold_01.m4a,Wide-Legged Forward Fold,narration,0,"Step your feet wide apart, toes pointing slightly inward..."
wide-legged-forward-fold_02.m4a,Wide-Legged Forward Fold,narration,1,"Hinge at the hips and fold forward, placing your hands on the floor..."
wide-legged-forward-fold_03.m4a,Wide-Legged Forward Fold,narration,2,"Let the crown of your head release toward the earth..."
wide-legged-forward-fold_04.m4a,Wide-Legged Forward Fold,narration,3,"Breathe here... feel the stretch through your inner thighs and hamstrings..."
wide-legged-forward-fold_05.m4a,Wide-Legged Forward Fold,narration,4,"With each exhale, surrender a little more into the fold..."
goddess-pose_transition.m4a,Goddess Pose,transition,,"Turn your toes out wide and bend your knees deeply..."
goddess-pose_01.m4a,Goddess Pose,narration,0,"Turn your toes out wide, bend your knees over your ankles..."
goddess-pose_02.m4a,Goddess Pose,narration,1,"Bring your arms to cactus position, elbows bent at ninety degrees..."
goddess-pose_03.m4a,Goddess Pose,narration,2,"Sink your hips low, engage your core, feel the power in your legs..."
goddess-pose_04.m4a,Goddess Pose,narration,3,"Breathe deeply... you are fierce and strong in this pose..."
goddess-pose_05.m4a,Goddess Pose,narration,4,"With each exhale, ground down through your feet..."
revolved-triangle_transition.m4a,Revolved Triangle,transition,,"Square your hips and begin to twist, reaching the opposite hand down..."
revolved-triangle_01.m4a,Revolved Triangle,narration,0,"Square your hips forward, place your opposite hand down beside your front foot..."
revolved-triangle_02.m4a,Revolved Triangle,narration,1,"Twist your torso open, reaching your top arm toward the sky..."
revolved-triangle_03.m4a,Revolved Triangle,narration,2,"Keep both legs strong and straight..."
revolved-triangle_04.m4a,Revolved Triangle,narration,3,"Breathe into the twist... each inhale creates length, each exhale deepens the rotation..."
revolved-triangle_05.m4a,Revolved Triangle,narration,4,"Gaze up if it feels comfortable on your neck..."
half-moon_transition.m4a,Half Moon,transition,,"From Triangle, bend your front knee and shift forward..."
half-moon_01.m4a,Half Moon,narration,0,"Shift your weight into your front foot, place your hand on the floor ahead of you..."
half-moon_02.m4a,Half Moon,narration,1,"Float your back leg up, stacking your hips open to the side..."
half-moon_03.m4a,Half Moon,narration,2,"Extend your top arm up, opening your chest like Triangle in the air..."
half-moon_04.m4a,Half Moon,narration,3,"Find your balance... breathe slowly and steadily..."
half-moon_05.m4a,Half Moon,narration,4,"Feel the lightness, the expansion, the openness in this pose..."
tree-pose_transition.m4a,Tree Pose,transition,,"Shift your weight onto your left foot and find your balance..."
tree-pose_01.m4a,Tree Pose,narration,0,"Shift your weight onto one foot, grounding all four corners into the earth..."
tree-pose_02.m4a,Tree Pose,narration,1,"Place the sole of your other foot on your inner thigh or calf, never on your knee..."
tree-pose_03.m4a,Tree Pose,narration,2,"Bring your hands to heart centre, or reach them overhead like branches..."
tree-pose_04.m4a,Tree Pose,narration,3,"Find a steady focal point and breathe... let your body sway gently like a tree in a breeze..."
tree-pose_05.m4a,Tree Pose,narration,4,"Each wobble is finding balance... it's okay to be imperfect..."
eagle-pose_transition.m4a,Eagle Pose,transition,,"Bend your knees and begin to wrap one leg over the other..."
eagle-pose_01.m4a,Eagle Pose,narration,0,"Bend your knees slightly, cross one thigh over the other, wrapping if you can..."
eagle-pose_02.m4a,Eagle Pose,narration,1,"Cross your arms, bringing the opposite elbow on top, wrap your forearms, press palms together..."
eagle-pose_03.m4a,Eagle Pose,narration,2,"Sink your hips low, squeeze everything tight to the centre line..."
eagle-pose_04.m4a,Eagle Pose,narration,3,"Breathe deeply into the space between your shoulder blades..."
eagle-pose_05.m4a,Eagle Pose,narration,4,"Find stillness in the compression... feel the stretch and the strength simultaneously..."
dancers-pose_transition.m4a,Dancer's Pose,transition,,"Stand tall, bend one knee and catch the inside of your ankle behind you..."
dancers-pose_01.m4a,Dancer's Pose,narration,0,"Stand on one leg, bend the other knee and catch your ankle behind you..."
dancers-pose_02.m4a,Dancer's Pose,narration,1,"Reach your free arm forward, begin to press your foot into your hand..."
dancers-pose_03.m4a,Dancer's Pose,narration,2,"Lean forward as your leg lifts higher behind you, like a graceful bow..."
dancers-pose_04.m4a,Dancer's Pose,narration,3,"Find a steady gaze point... breathe slowly and gently..."
dancers-pose_05.m4a,Dancer's Pose,narration,4,"Feel the beautiful backbend opening through your chest and shoulders..."
standing-hand-to-toe_transition.m4a,Standing Hand-to-Toe,transition,,"Draw one knee up toward your chest and catch your big toe..."
standing-hand-to-toe_01.m4a,Standing Hand-to-Toe,narration,0,"Shift your weight to one leg, draw the opposite knee up toward your chest..."
standing-hand-to-toe_02.m4a,Standing Hand-to-Toe,narration,1,"Catch your big toe with two fingers, or hold the outside of your foot..."
standing-hand-to-toe_03.m4a,Standing Hand-to-Toe,narration,2,"Slowly extend your leg forward... it doesn't have to be fully straight..."
standing-hand-to-toe_04.m4a,Standing Hand-to-Toe,narration,3,"Breathe here... find your balance between effort and ease..."
standing-hand-to-toe_05.m4a,Standing Hand-to-Toe,narration,4,"Stand tall through your spine, soften your face and jaw..."
crow-pose_transition.m4a,Crow Pose,transition,,"Come into a deep squat and place your hands on the mat..."
crow-pose_01.m4a,Crow Pose,narration,0,"From a squat, place your hands flat, shoulder-width apart, spread your fingers wide..."
crow-pose_02.m4a,Crow Pose,narration,1,"Bend your elbows slightly, squeeze your knees against the backs of your upper arms..."
crow-pose_03.m4a,Crow Pose,narration,2,"Shift your weight forward into your hands, lift one foot, then maybe both..."
crow-pose_04.m4a,Crow Pose,narration,3,"Gaze forward, not down... trust your hands..."
crow-pose_05.m4a,Crow Pose,narration,4,"Breathe steadily... even a moment of flight is a victory..."
childs-pose_transition.m4a,Child's Pose,transition,,"Come to your knees and sit your hips back toward your heels..."
childs-pose_01.m4a,Child's Pose,narration,0,"Sink your hips back toward your heels, walk your hands forward on the mat..."
childs-pose_02.m4a,Child's Pose,narration,1,"Let your forehead rest on the earth, close your eyes..."
childs-pose_03.m4a,Child's Pose,narration,2,"Feel your whole back body opening and softening with each breath..."
childs-pose_04.m4a,Child's Pose,narration,3,"This is a place of rest... of coming home to yourself..."
childs-pose_05.m4a,Child's Pose,narration,4,"Breathe into your lower back... let everything go..."
cobra_transition.m4a,Cobra,transition,,"Lower down onto your belly, hands beneath your shoulders..."
cobra_01.m4a,Cobra,narration,0,"Lie on your belly, place your hands under your shoulders..."
cobra_02.m4a,Cobra,narration,1,"Press gently into your hands, peel your chest off the floor..."
cobra_03.m4a,Cobra,narration,2,"Keep your elbows slightly bent, shoulders away from your ears..."
cobra_04.m4a,Cobra,narration,3,"Breathe into the front of your body... feel your heart lifting open..."
cobra_05.m4a,Cobra,narration,4,"Keep your lower body heavy and relaxed on the mat..."
upward-facing-dog_transition.m4a,Upward-Facing Dog,transition,,"Press through your hands and roll over your toes..."
upward-facing-dog_01.m4a,Upward-Facing Dog,narration,0,"Press into your hands and the tops of your feet, lift your thighs and knees off the floor..."
upward-facing-dog_02.m4a,Upward-Facing Dog,narration,1,"Roll your shoulders back and down, lift your chest proudly toward the ceiling..."
upward-facing-dog_03.m4a,Upward-Facing Dog,narration,2,"Your arms are straight, legs strong, only your hands and feet touch the mat..."
upward-facing-dog_04.m4a,Upward-Facing Dog,narration,3,"Breathe deeply into this beautiful heart opener..."
upward-facing-dog_05.m4a,Upward-Facing Dog,narration,4,"Gaze slightly upward, keep your neck long..."
pigeon-pose_transition.m4a,Pigeon Pose,transition,,"From Downward Dog, draw one knee forward toward your wrist..."
pigeon-pose_01.m4a,Pigeon Pose,narration,0,"Bring your right shin forward, angling it across the mat..."
pigeon-pose_02.m4a,Pigeon Pose,narration,1,"Extend your back leg long behind you, the top of your foot on the floor..."
pigeon-pose_03.m4a,Pigeon Pose,narration,2,"Walk your hands forward and fold over your front shin..."
pigeon-pose_04.m4a,Pigeon Pose,narration,3,"Breathe into the deep stretch in your outer hip... this is where we hold so much tension..."
pigeon-pose_05.m4a,Pigeon Pose,narration,4,"Surrender into this pose... let gravity do the work... just breathe and release..."
bridge-pose_transition.m4a,Bridge Pose,transition,,"Lie on your back with your knees bent and feet flat on the floor..."
bridge-pose_01.m4a,Bridge Pose,narration,0,"Lie on your back, bend your knees, feet flat on the floor hip-width apart..."
bridge-pose_02.m4a,Bridge Pose,narration,1,"Press into your feet, lift your hips toward the ceiling..."
bridge-pose_03.m4a,Bridge Pose,narration,2,"Roll your shoulders under, interlace your hands beneath you if you can..."
bridge-pose_04.m4a,Bridge Pose,narration,3,"Breathe into the front of your body... feel your chest opening toward your chin..."
bridge-pose_05.m4a,Bridge Pose,narration,4,"With each inhale, lift a little higher... with each exhale, root through your feet..."
sphinx-pose_transition.m4a,Sphinx Pose,transition,,"Come down onto your belly and place your forearms on the mat..."
sphinx-pose_01.m4a,Sphinx Pose,narration,0,"Lie on your belly, place your forearms on the mat, elbows under your shoulders..."
sphinx-pose_02.m4a,Sphinx Pose,narration,1,"Press gently into your forearms, lift your chest..."
sphinx-pose_03.m4a,Sphinx Pose,narration,2,"Let your lower body be completely passive and heavy..."
sphinx-pose_04.m4a,Sphinx Pose,narration,3,"Breathe into the gentle backbend... this is a kind and nourishing pose for your spine..."
sphinx-pose_05.m4a,Sphinx Pose,narration,4,"Soften your face, relax your jaw... just be here..."
supine-twist_transition.m4a,Supine Twist,transition,,"Draw one knee into your chest and let it fall across your body..."
supine-twist_01.m4a,Supine Twist,narration,0,"Lying on your back, draw one knee into your chest..."
supine-twist_02.m4a,Supine Twist,narration,1,"Guide that knee across your body to the opposite side..."
supine-twist_03.m4a,Supine Twist,narration,2,"Extend your arm out to the side, gaze in the opposite direction of your knee..."
supine-twist_04.m4a,Supine Twist,narration,3,"Breathe into the twist... feel your spine gently wringing out tension..."
supine-twist_05.m4a,Supine Twist,narration,4,"Each exhale, let your knee drop a little heavier... each inhale, expand through your chest..."
happy-baby_transition.m4a,Happy Baby,transition,,"Lying on your back, draw your knees wide and catch the outsides of your feet..."
happy-baby_01.m4a,Happy Baby,narration,0,"Lie on your back, draw both knees toward your armpits..."
happy-baby_02.m4a,Happy Baby,narration,1,"Grab the outer edges of your feet with your hands..."
happy-baby_03.m4a,Happy Baby,narration,2,"Gently press your knees toward the floor beside your ribcage..."
happy-baby_04.m4a,Happy Baby,narration,3,"Rock gently side to side if that feels good... massaging your lower back..."
happy-baby_05.m4a,Happy Baby,narration,4,"Breathe and smile... find that childlike ease and playfulness..."
locust-pose_transition.m4a,Locust Pose,transition,,"Come onto your belly, arms by your sides, forehead on the mat..."
locust-pose_01.m4a,Locust Pose,narration,0,"Lie on your belly, arms alongside your body, palms facing up..."
locust-pose_02.m4a,Locust Pose,narration,1,"On an inhale, lift your chest, arms, and legs off the floor simultaneously..."
locust-pose_03.m4a,Locust Pose,narration,2,"Reach back through your fingertips and through the balls of your feet..."
locust-pose_04.m4a,Locust Pose,narration,3,"Breathe steadily... feel your entire back body engaging..."
locust-pose_05.m4a,Locust Pose,narration,4,"Lift from your inner strength... you are stronger than you think..."
bow-pose_transition.m4a,Bow Pose,transition,,"Bend your knees and reach back to catch your ankles..."
bow-pose_01.m4a,Bow Pose,narration,0,"Lie on your belly, bend your knees, reach back and catch your ankles..."
bow-pose_02.m4a,Bow Pose,narration,1,"On an inhale, press your feet into your hands and lift your chest and thighs off the floor..."
bow-pose_03.m4a,Bow Pose,narration,2,"Your body forms the shape of a bow, your arms are the string..."
bow-pose_04.m4a,Bow Pose,narration,3,"Breathe into the deep opening across the front of your body..."
bow-pose_05.m4a,Bow Pose,narration,4,"Rock gently with your breath if it feels natural..."
legs-up-the-wall_transition.m4a,Legs Up the Wall,transition,,"Sit sideways next to a wall, then swing your legs up as you lie back..."
legs-up-the-wall_01.m4a,Legs Up the Wall,narration,0,"Swing your legs up against the wall, or simply extend them toward the ceiling..."
legs-up-the-wall_02.m4a,Legs Up the Wall,narration,1,"Let your arms rest by your sides, palms facing up..."
legs-up-the-wall_03.m4a,Legs Up the Wall,narration,2,"Close your eyes and feel the gentle inversion, blood flowing back toward your heart..."
legs-up-the-wall_04.m4a,Legs Up the Wall,narration,3,"This is one of the most healing poses in yoga... just receive its benefits..."
legs-up-the-wall_05.m4a,Legs Up the Wall,narration,4,"Breathe naturally... there is nothing to do, nowhere to go..."
seated-forward-fold_transition.m4a,Seated Forward Fold,transition,,"Extend both legs in front of you and sit tall..."
seated-forward-fold_01.m4a,Seated Forward Fold,narration,0,"Sit tall with your legs extended in front of you..."
seated-forward-fold_02.m4a,Seated Forward Fold,narration,1,"On an inhale, reach your arms up, lengthening your spine..."
seated-forward-fold_03.m4a,Seated Forward Fold,narration,2,"On the exhale, hinge from your hips and fold forward over your legs..."
seated-forward-fold_04.m4a,Seated Forward Fold,narration,3,"Let your hands rest wherever they reach... shins, ankles, feet..."
seated-forward-fold_05.m4a,Seated Forward Fold,narration,4,"Breathe into the stretch along the entire back of your body... be patient with yourself..."
butterfly-pose_transition.m4a,Butterfly Pose,transition,,"Bring the soles of your feet together and let your knees open wide..."
butterfly-pose_01.m4a,Butterfly Pose,narration,0,"Bring the soles of your feet together, let your knees fall open to the sides..."
butterfly-pose_02.m4a,Butterfly Pose,narration,1,"Hold your feet with your hands, sit up tall..."
butterfly-pose_03.m4a,Butterfly Pose,narration,2,"On each exhale, gently let your knees release toward the earth..."
butterfly-pose_04.m4a,Butterfly Pose,narration,3,"Breathe into the openness in your hips... this is a gentle, nurturing pose..."
butterfly-pose_05.m4a,Butterfly Pose,narration,4,"If you like, fold forward gently for a deeper stretch..."
seated-twist_transition.m4a,Seated Twist,transition,,"Cross one foot over the opposite thigh and begin to twist..."
seated-twist_01.m4a,Seated Twist,narration,0,"Sit tall, cross one foot over the opposite knee..."
seated-twist_02.m4a,Seated Twist,narration,1,"Place the opposite elbow outside your top knee, twist your torso gently..."
seated-twist_03.m4a,Seated Twist,narration,2,"Inhale to lengthen your spine... exhale to deepen the twist just a little more..."
seated-twist_04.m4a,Seated Twist,narration,3,"Look over your back shoulder... breathe into the rotation..."
seated-twist_05.m4a,Seated Twist,narration,4,"Twists are like wringing out a sponge... releasing what no longer serves you..."
head-to-knee-pose_transition.m4a,Head-to-Knee Pose,transition,,"Extend one leg and bend the other, sole of foot to inner thigh..."
head-to-knee-pose_01.m4a,Head-to-Knee Pose,narration,0,"Extend one leg and bend the other, placing the sole of your foot against your inner thigh..."
head-to-knee-pose_02.m4a,Head-to-Knee Pose,narration,1,"Inhale and reach up tall, then exhale and fold over your extended leg..."
head-to-knee-pose_03.m4a,Head-to-Knee Pose,narration,2,"Let your hands rest on your leg, ankle, or foot..."
head-to-knee-pose_04.m4a,Head-to-Knee Pose,narration,3,"Breathe into the stretch along the back of your extended leg..."
head-to-knee-pose_05.m4a,Head-to-Knee Pose,narration,4,"Surrender the weight of your head and upper body... let gravity deepen the fold..."
fire-log-pose_transition.m4a,Fire Log Pose,transition,,"Stack your shins one on top of the other, like stacking logs..."
fire-log-pose_01.m4a,Fire Log Pose,narration,0,"Stack your shins parallel, one on top of the other, feet flexed..."
fire-log-pose_02.m4a,Fire Log Pose,narration,1,"If this is intense, keep your bottom foot on the floor instead..."
fire-log-pose_03.m4a,Fire Log Pose,narration,2,"Sit tall, or fold forward gently for more depth..."
fire-log-pose_04.m4a,Fire Log Pose,narration,3,"Breathe into the deep outer hip stretch... this may feel very intense, and that's okay..."
fire-log-pose_05.m4a,Fire Log Pose,narration,4,"Find the edge where the stretch is present but not painful... breathe there..."
hero-pose_transition.m4a,Hero Pose,transition,,"Come to a kneeling position and gently sit back between your heels..."
hero-pose_01.m4a,Hero Pose,narration,0,"Kneel with your knees together, sit back between your heels..."
hero-pose_02.m4a,Hero Pose,narration,1,"If this is too intense on your knees, sit on a block or cushion..."
hero-pose_03.m4a,Hero Pose,narration,2,"Rest your hands on your thighs, close your eyes..."
hero-pose_04.m4a,Hero Pose,narration,3,"Breathe deeply... feel the gentle stretch through your thighs and ankles..."
hero-pose_05.m4a,Hero Pose,narration,4,"This is a pose of quiet dignity and inner stillness..."
downward-facing-dog_transition.m4a,Downward-Facing Dog,transition,,"Tuck your toes and lift your hips up and back..."
downward-facing-dog_01.m4a,Downward-Facing Dog,narration,0,"Tuck your toes, lift your hips high, pressing back into an inverted V..."
downward-facing-dog_02.m4a,Downward-Facing Dog,narration,1,"Spread your fingers wide, press evenly through your whole hand..."
downward-facing-dog_03.m4a,Downward-Facing Dog,narration,2,"Let your head hang heavy between your arms, ears in line with your biceps..."
downward-facing-dog_04.m4a,Downward-Facing Dog,narration,3,"Pedal your feet gently... breathe into the length of your spine..."
downward-facing-dog_05.m4a,Downward-Facing Dog,narration,4,"Press your chest toward your thighs, send your sitting bones toward the ceiling..."
dolphin-pose_transition.m4a,Dolphin Pose,transition,,"Lower to your forearms and lift your hips up and back..."
dolphin-pose_01.m4a,Dolphin Pose,narration,0,"Come onto your forearms, interlace your fingers or keep forearms parallel..."
dolphin-pose_02.m4a,Dolphin Pose,narration,1,"Tuck your toes, lift your hips like Downward Dog but on your forearms..."
dolphin-pose_03.m4a,Dolphin Pose,narration,2,"Press firmly through your forearms, draw your shoulders away from your ears..."
dolphin-pose_04.m4a,Dolphin Pose,narration,3,"This is an intense shoulder opener and a preparation for headstand..."
dolphin-pose_05.m4a,Dolphin Pose,narration,4,"Breathe steadily... build strength and patience here..."
shoulder-stand_transition.m4a,Shoulder Stand,transition,,"Lie on your back, lift your hips and support your lower back with your hands..."
shoulder-stand_01.m4a,Shoulder Stand,narration,0,"Lie on your back, lift your legs and hips up, supporting your lower back with your hands..."
shoulder-stand_02.m4a,Shoulder Stand,narration,1,"Walk your hands higher up your back, straighten your legs toward the ceiling..."
shoulder-stand_03.m4a,Shoulder Stand,narration,2,"Keep your elbows shoulder-width apart, press into the mat..."
shoulder-stand_04.m4a,Shoulder Stand,narration,3,"Breathe softly... this is the queen of all yoga poses... nourishing every system in your body..."
shoulder-stand_05.m4a,Shoulder Stand,narration,4,"Keep your neck still and relaxed... never turn your head in this pose..."
plow-pose_transition.m4a,Plow Pose,transition,,"From Shoulder Stand, begin to lower your legs behind your head..."
plow-pose_01.m4a,Plow Pose,narration,0,"From Shoulder Stand, slowly lower your feet toward the floor behind your head..."
plow-pose_02.m4a,Plow Pose,narration,1,"Keep your legs straight, toes reaching for the ground..."
plow-pose_03.m4a,Plow Pose,narration,2,"Support your back with your hands, or extend your arms along the floor..."
plow-pose_04.m4a,Plow Pose,narration,3,"Breathe into the stretch along your entire spine and the back of your legs..."
plow-pose_05.m4a,Plow Pose,narration,4,"This pose calms the nervous system profoundly..."
mountain-pose_transition.m4a,Mountain Pose,transition,,"Come to stand at the top of your mat..."
mountain-pose_01.m4a,Mountain Pose,narration,0,"Stand tall at the top of your mat, feet together or hip-width apart..."
mountain-pose_02.m4a,Mountain Pose,narration,1,"Feel all four corners of your feet grounding into the earth..."
mountain-pose_03.m4a,Mountain Pose,narration,2,"Arms by your sides, palms facing forward, shoulders relaxed..."
mountain-pose_04.m4a,Mountain Pose,narration,3,"Close your eyes... take a deep breath in... and slowly let it out..."
standing-forward-fold_transition.m4a,Standing Forward Fold,transition,,"Exhale and fold forward from your hips..."
standing-forward-fold_01.m4a,Standing Forward Fold,narration,0,"Exhale, hinge at your hips and fold forward..."
standing-forward-fold_02.m4a,Standing Forward Fold,narration,1,"Let your hands hang toward the floor, bend your knees as much as you need..."
standing-forward-fold_03.m4a,Standing Forward Fold,narration,2,"Relax the weight of your head and neck completely..."
standing-forward-fold_04.m4a,Standing Forward Fold,narration,3,"Breathe here... each exhale, release a little deeper into the fold..."
halfway-lift_transition.m4a,Halfway Lift,transition,,"Inhale, lift halfway with a flat back..."
halfway-lift_01.m4a,Halfway Lift,narration,0,"On your inhale, lift halfway, fingertips on shins, spine long and flat..."
halfway-lift_02.m4a,Halfway Lift,narration,1,"Gaze forward, draw your shoulder blades together..."
halfway-lift_03.m4a,Halfway Lift,narration,2,"This is a moment of strength and alignment in the flow..."
chaturanga_transition.m4a,Chaturanga,transition,,"From plank, shift forward and lower halfway down..."
chaturanga_01.m4a,Chaturanga,narration,0,"Shift forward to plank, then slowly lower halfway down, elbows hugging your ribs..."
chaturanga_02.m4a,Chaturanga,narration,1,"Keep your body in one straight line, core engaged..."
chaturanga_03.m4a,Chaturanga,narration,2,"Hover here... this is your moment of controlled strength..."
low-lunge_transition.m4a,Low Lunge,transition,,"Step one foot forward and lower your back knee to the mat..."
low-lunge_01.m4a,Low Lunge,narration,0,"Lower your back knee to the mat, untuck your toes..."
low-lunge_02.m4a,Low Lunge,narration,1,"Sink your hips forward and down, feeling the stretch through your hip flexor..."
low-lunge_03.m4a,Low Lunge,narration,2,"Sweep your arms overhead, lift your chest..."
low-lunge_04.m4a,Low Lunge,narration,3,"Breathe into the opening in the front of your hip..."
ragdoll_transition.m4a,Ragdoll,transition,,"Fold forward and grab opposite elbows, letting yourself hang..."
ragdoll_01.m4a,Ragdoll,narration,0,"Fold forward, grab opposite elbows, and gently sway side to side..."
ragdoll_02.m4a,Ragdoll,narration,1,"Let the weight of your arms and head traction your spine..."
ragdoll_03.m4a,Ragdoll,narration,2,"Bend your knees as much as you need to be comfortable..."
ragdoll_04.m4a,Ragdoll,narration,3,"Just breathe and hang... releasing all the tension from your day..."
boat-pose_transition.m4a,Boat Pose,transition,,"Sit back, lift your feet and find your balance on your sitting bones..."
boat-pose_01.m4a,Boat Pose,narration,0,"Sit tall, lean back slightly, lift your feet off the floor..."
boat-pose_02.m4a,Boat Pose,narration,1,"Extend your legs straight if you can, or keep your knees bent..."
boat-pose_03.m4a,Boat Pose,narration,2,"Reach your arms forward, parallel to the floor..."
boat-pose_04.m4a,Boat Pose,narration,3,"Your body forms a V shape... engage your core, breathe steadily..."
boat-pose_05.m4a,Boat Pose,narration,4,"This is challenging... stay with it... breathe through the fire..."
plank-pose_transition.m4a,Plank Pose,transition,,"Come to the top of a push-up position, hands under shoulders..."
plank-pose_01.m4a,Plank Pose,narration,0,"Hands under shoulders, body in one long line from head to heels..."
plank-pose_02.m4a,Plank Pose,narration,1,"Engage your core, press the floor away, spread your shoulder blades apart..."
plank-pose_03.m4a,Plank Pose,narration,2,"Gaze just past your fingertips, keep your neck long..."
